"Concurso";"Data do Sorteio";"Coluna1";"Coluna2";"Coluna3";"Coluna4";"Coluna5";"Coluna6";"Ganhadores Faixa 1";"Ganhadores Faixa 2";"Ganhadores Faixa 3";"Rateio Faixa 1";"Rateio Faixa2";"Rateio Faixa 3";"Cidade";"Valor Arrecadado";"Estimativa para o próximo concurso";"Valor Acumulado Próximo Concurso";"Acumulado";"Sorteio Especial";"Observação"
73;1997-07-27 00:00:00;25;26;28;45;51;57;1;95;8222;21026575.40;21205.27;244.52;BA;0.00;0.00;0.00;Não;Não;GANHADOR: BA - SALVADOR
74;1997-08-03 00:00:00;2;24;34;37;38;50;0;40;3321;0.00;18257.68;219.48;-;0.00;0.00;876368.71;Sim;Não;-
75;1997-08-10 00:00:00;21;24;35;36;37;49;0;70;5032;0.00;12395.02;172.09;-;0.00;0.00;1917550.02;Sim;Não;-
76;1997-08-17 00:00:00;8;17;18;23;33;53;0;92;6399;0.00;10247.61;147.04;-;0.00;0.00;3048886.14;Sim;Não;-
77;1997-08-24 00:00:00;21;29;40;49;54;57;0;20;2635;0.00;49648.81;376.09;-;0.00;0.00;4240457.60;Sim;Não;-
78;1997-08-31 00:00:00;12;22;25;31;32;46;0;103;5984;0.00;9907.36;170.19;-;0.00;0.00;5465006.39;Sim;Não;-
79;1997-09-07 00:00:00;2;13;17;25;31;43;1;247;13375;6770601.75;4404.85;81.18;RS;0.00;0.00;0.00;Não;Não;O ganhador da SENA do Estado do Rio Grande do Sul
80;1997-09-14 00:00:00;23;28;37;40;48;51;0;43;4284;0.00;26443.00;264.89;-;0.00;0.00;10953707.53;Sim;Não;-
81;1997-09-21 00:00:00;10;23;41;47;54;60;0;62;4870;0.00;19453.15;247.17;-;0.00;0.00;12401021.68;Sim;Não;-
82;1997-09-28 00:00:00;15;18;29;36;51;53;1;77;5889;13877826.02;15982.73;208.57;BA;0.00;0.00;0.00;Não;Não;Ganhador da SENA do Estado da Bahia.
83;1997-10-05 00:00:00;4;15;16;24;42;57;0;76;4756;0.00;9408.43;150.04;-;0.00;0.00;858048.93;Sim;Não;-
84;1997-10-12 00:00:00;4;6;10;25;34;40;0;102;5546;0.00;7539.68;138.40;-;0.00;0.00;1780905.80;Sim;Não;-
85;1997-10-19 00:00:00;6;15;30;37;45;47;0;45;4312;0.00;17279.25;179.96;-;0.00;0.00;2713984.86;Sim;Não;-
86;1997-10-26 00:00:00;6;21;22;34;36;54;0;48;3752;0.00;16752.96;213.90;-;0.00;0.00;3678955.17;Sim;Não;-
87;1997-11-02 00:00:00;4;5;11;28;32;40;0;64;5195;0.00;12696.60;156.11;-;0.00;0.00;4654053.86;Sim;Não;A SENA ESTA ACUMULADA.
88;1997-11-09 00:00:00;4;18;29;37;43;45;0;110;6805;0.00;7965.82;128.51;-;0.00;0.00;5705540.99;Sim;Não;A MEGASENA ESTA ACUMULADA
89;1997-11-16 00:00:00;13;34;42;44;55;59;0;36;3847;0.00;24246.00;226.45;-;0.00;0.00;6752968.26;Sim;Não;A MEGA SENA EST- ACUMULADA.
90;1997-11-23 00:00:00;9;21;26;40;52;54;1;74;4763;15764300.87;18584.49;288.17;RJ;0.00;0.00;0.00;Não;Não;ESTADO CONTEMPLADO COM SENA: RIO DE JANEIRO
91;1997-11-30 00:00:00;2;4;10;35;39;60;0;68;3878;0.00;9588.80;167.81;-;0.00;0.00;782445.93;Sim;Não;-
